slug	title	meta_description	content_header	guide_content	search_conditions	keyword	sort	sort_order	icon	color
commute-cub	燃費最強！カブ系バイク特集	スーパーカブ・クロスカブなどカブ系バイクの中古車一覧。圧倒的な燃費と耐久性で通勤・通学に最適。	燃費最強のカブ系バイクを集めました。スーパーカブ、クロスカブ、CT125など、経済性と信頼性を兼ね備えた名車たちです。	カブ系はリッター50km以上の燃費と圧倒的な耐久性が魅力。スーパーカブ110は通勤通学の定番、CT125ハンターカブはアウトドア派に人気です。遠心クラッチ式のギアチェンジは慣れると楽しく、カスタムパーツも豊富。	{"max_displacement": 125}	カブ	bargain	23	leaf	bg-emerald-600
supersport	スーパースポーツ・レプリカ特集	CBR、YZF、Ninja等のスーパースポーツ中古車一覧。サーキットから峠まで、圧倒的な走行性能を誇るスポーツバイク。	圧倒的な走行性能のスーパースポーツ・レプリカモデルを集めました。CBR、YZF-R、Ninja ZXシリーズなど、所有欲を満たす1台を。	スーパースポーツは最新の電子制御（トラクションコントロール、クイックシフター等）搭載モデルが増えています。初めてのSSなら600cc以下のミドルクラスがおすすめ。前傾姿勢がきついので、用途に合うか試乗で確認しましょう。	{"min_displacement": 250}	スポーツ	bargain	24	flag	bg-red-600
neo-classic	ネオクラシック・レトロバイク特集	クラシックデザインに最新技術を融合したネオクラシックバイクの中古車一覧。Z900RS、GB350、XSR等。	レトロなデザインに現代の技術を融合したネオクラシックバイクを集めました。街に映えるスタイルと実用性を両立。	ネオクラシックはZ900RS、GB350、XSR700などが代表格。見た目はレトロでもABSやFI等の現代装備が充実しており、日常使いも快適です。カフェレーサーやスクランブラースタイルのカスタムも楽しめます。	[]	クラシック	bargain	25	coffee	bg-amber-800
vintage-bike	絶版・旧車バイク特集	2000年以前の絶版・旧車バイクを一覧表示。名車と呼ばれるビンテージモデルを探せます。	時代を超えて愛される絶版・旧車バイクを集めました。CBX400F、RZ250、Z1など、今なお輝く名車たちです。	旧車は部品供給とメンテナンスが最重要。購入前にパーツの入手性を確認しましょう。専門ショップでの購入がおすすめです。レストア済み車両は高額ですが安心感があります。キャブ車はFI車と異なるメンテナンスが必要です。	{"max_model_year": 2000}	NULL	latest	26	clock	bg-gray-800
bargain-pick	AIが選ぶお買い得バイク	相場より安い掘り出し物バイクをAIが自動選定。お得な中古バイクを見つけましょう。	市場相場と比較してお得な車両をAIが自動選定しました。掘り出し物を見逃さないようチェックしましょう。	お買い得スコアは同じ車種・年式・走行距離の相場と比較して算出しています。スコアが高いほど市場平均より割安です。ただし安さには理由がある場合も。車両状態・修復歴・付属品を必ず確認しましょう。	[]	NULL	bargain	27	trending-down	bg-teal-600
commute-scooter	通勤・通学に最適なスクーター特集	通勤通学におすすめのスクーター中古車一覧。PCX、アドレス、ジョグなど人気モデルを価格比較。	毎日の通勤・通学に最適なスクーターを集めました。メットイン収納・燃費・取り回しの良さが魅力です。	通勤用スクーターはメットイン容量と燃費がポイント。PCXはバランスが良い定番、アドレスV125は小回りが利き駐輪場にも困りません。雨の日も足元が濡れにくいのがスクーターの大きなメリットです。	{"max_displacement": 125}	スクーター	bargain	28	zap	bg-blue-500
large-under-100man	100万円以下で買える大型バイク	支払総額100万円以下で手に入る401cc以上の大型バイクを特集。憧れのリッターバイクも中古ならお手頃価格。全国の在庫から価格比較できます。	<p>「大型バイクに乗りたいけど、予算が心配…」そんなあなたに朗報です。中古市場なら<strong>支払総額100万円以下</strong>で手に入る大型バイクがたくさんあります。</p><p>CB1300SF、ZRX1200、V-Strom650など、人気の大型モデルが予算内で見つかるかも。高速道路でのゆとりある走り、長距離ツーリングの快適さは大型ならでは。価格と状態を比較して、コスパ最強の大型バイクを見つけましょう。</p>	大型バイク（401cc以上）は大型自動二輪免許が必要で、車検は2年ごとに必須です。車検費用は業者に依頼して5〜8万円程度。中古で100万円以下の大型は5〜15年落ちが中心ですが、日本車は耐久性が高く、整備されていれば十分現役で走れます。購入時はエンジンの異音・オイル漏れ・フロントフォークのオイルにじみをチェック。走行距離は3万km以下が理想ですが、整備履歴がしっかりしていれば5万km超えでも問題ありません。	{"max_price": 100, "min_displacement": 401}	NULL	price_asc	30	coins	bg-gradient-to-br from-amber-500 to-yellow-400
budget-under-10man	10万円以下の格安バイク	支払総額10万円以下で買える格安バイクを特集。とにかく安くバイクに乗りたい方必見。全国の激安バイク在庫を一覧で比較。	<p>とにかく安くバイクに乗りたい方必見！<strong>支払総額10万円以下</strong>の格安バイクを一挙掲載しています。</p><p>「初めてのバイクは安い車体で練習したい」「セカンドバイクとして近所の足が欲しい」という方にぴったり。走行距離や年式は多めですが、まだまだ現役で走れる掘り出し物が見つかるかもしれません。気になる車両があれば、早めにショップへ問い合わせましょう。</p>	10万円以下のバイクは走行距離が多め・年式が古いものが中心です。購入前に必ず確認すべきポイントは、タイヤの溝の残量、チェーンとスプロケットの摩耗、ブレーキパッドの残量、バッテリーの状態です。これらの消耗品を交換すると追加で2〜5万円かかることがあるため、総額で考えましょう。整備履歴（点検記録簿）が残っている車両は安心です。また、人気車種は部品供給が豊富なため、修理の心配が少なくおすすめです。	{"max_price": 10}	NULL	price_asc	40	piggy-bank	bg-gradient-to-br from-rose-500 to-red-400
etc-equipped	ETC付きバイク特集	ETC車載器付きのバイクを特集。高速道路の料金所をノンストップで通過できるETC搭載車を全国から検索。ツーリングに便利な1台を見つけましょう。	<p>高速道路でのツーリングに欠かせない<strong>ETC車載器</strong>。料金所をノンストップで通過でき、二輪車定率割引などのお得な制度も利用可能です。</p><p>最初からETCが装備されたバイクなら、面倒な取り付け工賃もゼロ。納車後すぐにツーリングに出発できます。ロングツーリング派のあなたに最適な、ETC付きバイクをチェックしてみてください。</p>	バイク用ETC車載器は後付けすると本体代+セットアップ+取付工賃で約3〜4万円かかります。最初からETC付きの中古車を選べばそのコストをまるごと節約できます。二輪車のETC利用率はまだ低いため、ETC付き車両は市場で希少価値があります。なおETC2.0対応機は高速道路の一時退出・再進入実験にも対応しているため、ツーリング先での寄り道にも便利です。	{"tag": "ETC"}	NULL	latest	50	credit-card	bg-gradient-to-br from-indigo-500 to-blue-400
new-scooter	スクーター特集	通勤・通学・買い物に便利なスクーターを特集。50cc〜250ccのスクーターを全国の在庫から比較。メットイン収納付きで実用的な1台を見つけましょう。	<p>ATで操作がかんたん、メットインスペースに荷物が入る実用性の高さが魅力の<strong>スクーター</strong>。通勤・通学はもちろん、買い物やちょっとしたお出かけにも大活躍します。</p><p>PCX、NMAX、アドレスなど人気スクーターの在庫をチェック。50ccから250ccまで幅広いラインナップから、あなたのライフスタイルに合った1台を見つけましょう。</p>	スクーターはAT（オートマチック）なのでクラッチ操作が不要で、初心者でもすぐに乗りこなせます。50ccは原付免許で乗れますが二段階右折と30km/h制限あり。125ccなら小型限定免許で制限なし、ファミリーバイク特約も使えて維持費最安。250ccは高速道路も走れてロングツーリングにも対応可能。選ぶ際はメットイン容量（フルフェイスが入るか）、USB充電ポートの有無、燃費性能をチェックしましょう。	{"max_displacement": 250, "min_displacement": 50}	スクーター	price_asc	60	sparkles	bg-gradient-to-br from-purple-500 to-pink-400
one-owner	ワンオーナー車のバイク特集	前オーナーが1人だけのワンオーナーバイクを特集。丁寧にメンテナンスされた良質な中古バイクを全国から検索できます。	<p>中古バイク選びで「前のオーナーが大切に乗っていたか」は重要なポイント。<strong>ワンオーナー車</strong>は新車から1人のオーナーだけが乗ってきた車両で、メンテナンス履歴が追いやすく、状態が良い傾向にあります。</p><p>複数人の手を渡っていないぶん、消耗品の交換時期も把握しやすいのが魅力。少し予算を上げてでも、程度の良い1台を手に入れたい方におすすめです。</p>	ワンオーナー車は新車購入から1人のオーナーだけが乗り続けた車両で、整備記録が追いやすく状態の良いものが多い傾向にあります。ただし「ワンオーナー」でも走行距離が多い場合や、ガレージ保管と屋外保管では状態が大きく異なります。点検記録簿の有無、オイル交換の頻度、純正部品の残存状況を確認しましょう。同じ車種のマルチオーナー車と比べると5〜15%ほど割高なことが多いですが、後のトラブルリスクを考えると十分価値があります。	{"tag": "ワンオーナー"}	NULL	latest	70	crown	bg-gradient-to-br from-yellow-500 to-orange-400
250cc-no-inspection	車検不要！維持費がお得な250ccバイク	車検不要で維持費を抑えられる126cc〜250ccクラスのバイクを特集。軽二輪は車検なしで高速道路も走れるコスパ最強クラス。	<p>250ccクラス（126cc〜250cc）の最大の魅力は<strong>車検が不要</strong>なこと。2年ごとの車検費用（数万円〜）がかからないため、大幅に維持費を節約できます。</p><p>それでいて高速道路は問題なく走れるので、ツーリングの自由度は十分。ニンジャ250、CBR250RR、YZF-R25など、250ccスポーツモデルは走りの楽しさも一級品。通勤からツーリングまでオールマイティに活躍する250ccバイクを探してみましょう。</p>	126〜250ccクラス（軽二輪）は車検不要のため、維持費は年間約5〜8万円（自賠責・任意保険・税金・消耗品）に抑えられます。400ccクラスと比べて年間2〜3万円のコスト差があります。車検がない分、自分で定期的なメンテナンスを行うことが重要です。エンジンオイルは3,000〜5,000kmごと、チェーン清掃は月1回が目安。購入時はフレームの錆、フロントフォークのオイル漏れ、リアサスペンションのへたりを要チェックです。	{"max_displacement": 250, "min_displacement": 126}	NULL	bargain_desc	80	shield-check	bg-gradient-to-br from-teal-500 to-green-400
delivery-business-bike	雨の日も快適！デリバリー・配達におすすめのビジネスバイク	ウーバーイーツなどの配達やビジネス用途に最適な屋根付きバイク（ジャイロキャノピーなど）や、積載力抜群のタフなビジネスバイクを厳選しました。	<p>配達業務を効率化し、雨の日も快適に走れる「働くバイク」を集めました。屋根付きでワイパー装備のジャイロキャノピーや、巨大なリアボックスを積載できるベンリィ、ギアなど、プロ仕様のタフなモデルが揃っています。</p>	デリバリー・配達用バイクを選ぶポイントは「積載力」「燃費」「耐久性」の3つ。ジャイロキャノピーは屋根付きで雨天でも快適ですが三輪のため独特の操作感があります。スーパーカブは圧倒的な燃費（リッター60km以上）と耐久性でビジネスユースの定番。ベンリィは低床フラットステップで乗り降りしやすく長時間の配達にも向いています。1日50km以上走る方は燃費を最重視、雨天稼働が多い方は屋根付きモデルを検討しましょう。	{"bike_model_ids": [3765, 1674, 3586, 415, 417, 418, 3437, 3438, 419, 420, 421, 3587, 416, 450, 451, 452, 453, 3476, 456, 454, 455, 459, 3444, 3445, 460, 461, 464, 462, 463, 465, 466, 467, 468, 469, 470, 471, 472, 458, 473, 474, 475, 476, 545, 3588, 3589, 3590, 3591, 3462, 546, 547, 3420, 557, 1041, 1042, 3706, 1122, 3310, 3311, 1123, 1044, 1043]}	NULL	latest	90	package	bg-gradient-to-br from-orange-500 to-red-400
full-normal-used	【安心の無改造】フルノーマルの中古バイク特集	カスタムされていない、メーカー出荷時そのままの状態を保った「フルノーマル」のバイク特集です。前オーナーのクセがなく、信頼性を重視する方に最適です。	<p>中古車選びで「安心」を求めるならフルノーマル車がおすすめ！改造によるバランスの崩れや、予期せぬトラブルのリスクが低く、これから自分好みにカスタムしたい方や、長く安心して乗れる車両だけをピックアップしました。</p>	フルノーマル車はメーカーの設計通りの状態が保たれているため、走行性能のバランスが崩れておらず安心して乗れます。カスタム車はマフラー交換でパワーバンドが変わっていたり、サスペンション変更で乗り心地が変わっていることがあります。また車検時にノーマルに戻す手間もかかりません。フルノーマルで状態の良い車両は将来の売却時にもリセールバリューが高い傾向にあります。	{"tag": "ノーマル車"}	NULL	latest	100	shield	bg-gradient-to-br from-gray-500 to-gray-400
250cc-4cylinder	超高回転の咆哮！250cc・4気筒エンジン搭載モデル	Ninja ZX-25Rやホーネット、バリオスなど、今や希少となった250ccの並列4気筒（マルチ）エンジンを搭載した熱いバイクの在庫一覧です。	<p>1万回転以上まで回した時の「クォォォン！」というF1マシンのような甲高い排気音。現行のZX-25Rはもちろん、ホーネットやバリオス、ZXR250など、往年の名車たちを含めた「250cc・4気筒」のロマンあふれる車両を集めました。</p>	250cc4気筒は1990年代に各メーカーが競って開発した黄金時代のバイクが多く、現在は中古でしか手に入らない希少なモデルがほとんどです。現行で唯一新車購入できるのがカワサキ ZX-25R。旧車のホーネット250やバリオスは部品供給に不安があるため、程度の良い個体を見極めることが重要です。エンジンの吹け上がり（スムーズに高回転まで回るか）、キャブレター車は同調の状態、走行距離2万km以下が理想的な購入条件です。	{"bike_model_ids": [47, 111, 3503, 3504, 3042, 3043, 3044, 3612, 3613, 810, 4565, 3619, 3620, 3734, 3520]}	NULL	latest	110	gauge	bg-gradient-to-br from-red-600 to-rose-500
camp-adventure	荷物を積んで大自然へ！キャンプ向けアドベンチャー	VストロームやVersys、アフリカツインなど、未舗装路も走れて荷物もたっぷり積める「アドベンチャー」タイプのバイク特集。キャンプツーリングに最適です。	<p>圧倒的な積載力と、長距離を走っても疲れない快適なポジション。そしてフラット林道などの未舗装路も走破できる走破性。いま最も熱い「アドベンチャー」モデルで、テントとシュラフを積んで週末のキャンプツーリングへ出かけませんか？</p>	アドベンチャーバイクはアップライトなポジション、長いサスペンションストローク、大容量タンクが特徴で、オンロードからフラット林道まで幅広く走れます。キャンプ道具を積むならパニアケース（サイドケース）の装着が必須。純正オプションが充実しているVストロームやアフリカツインが人気です。250ccクラスのCRF250やセローなら車検不要で維持費も安く、初めてのキャンプツーリングにもおすすめ。シート高が高めなので試乗して足つきを確認しましょう。	{"bike_model_ids": [3567, 3568, 3323, 3324, 3575, 4613, 3326, 3327, 4832, 3505, 172, 167, 168, 3331, 169, 173, 3334, 3335, 3336, 649, 650, 651, 652, 654, 653, 655, 656, 657, 634, 641, 635, 3605, 3606, 3022, 636, 637, 3023, 638, 639, 640, 658, 3024, 3066, 715, 716, 714, 713, 3069, 3611, 3070, 720, 719, 3072, 3073, 3074, 3214, 3215, 3217, 3218, 3220, 3221, 3222, 3225, 3226, 3227, 3228, 3717, 4712, 3546, 3557, 364, 4612, 3830, 3831, 1375, 1374, 3234, 1384, 386, 3810, 1460, 1461, 1462, 1463, 1474, 1464, 1465, 508, 509]}	NULL	latest	120	mountain	bg-gradient-to-br from-emerald-600 to-green-500
