bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note_public,note_internal,cost_oil_range,cost_shop_range,cost_diy_range,cost_updated_at
585,リード125,lead-125,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/lead125/faq/qa009/,,,2026-07-07,ストレーナ清掃時0.85L,型式要確認,1800〜2450円,3100〜3850円,2050〜2750円,2026-07
274,pcx,pcx,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/pcx/faq/qa009/,,,2026-07-07,交換目安6000km・ストレーナ清掃時0.85L,slug/型式要確認,1800〜2450円,3100〜4350円,2050〜2750円,2026-07
277,pcx160,pcx-160,oil,,,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.8L;capacity_strainer=0.85L;interval=6000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/pcx160/faq/qa009/,,,2026-07-07,交換目安6000km・ストレーナ清掃時0.85L,PCX値を流用・PCX160独自FAQ要確認,1800〜2450円,3100〜4350円,2050〜2750円,2026-07
195,dio110,dio110,oil,JK46,2026〜,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.7L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/dio110/faq/qa009/,,,2026-07-07,新型(2026-)は交換量0.7L,年式境界要照合,1600〜2150円,2900〜3550円,1800〜2450円,2026-07
195,dio110,dio110,oil,JF58,〜2025,,10W-30,ホンダ純正:ウルトラE1,jaso=MB;capacity_change=0.65L;interval=3000km,Honda公式Q&A,https://www.honda.co.jp/customer/motor/dio110/faq/qa009/,,,2026-07-07,旧型は交換量0.65L,JK46/JF58の年式境界を要照合,,,,
1264,nmax,nmax,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,web複数ソース確定・出典要照合,1950〜2600円,3250〜4500円,2150〜2900円,2026-07
1265,nmax155,nmax155,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,NMAX値を流用・出典/量要照合,1950〜2600円,3250〜4500円,2150〜2900円,2026-07
1456,シグナスx,cygnus-x,oil,,,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.9L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,,slug/型式要確認・出典要照合,1950〜2600円,3250〜4500円,2150〜2900円,2026-07
1452,ジョグ125,jog-125,oil,SEJ5J,2022/11〜,,10W-30,ヤマハ純正:ヤマルーブ,jaso=MB;capacity_change=0.8L;interval=3000km,ワイズギア ヤマルーブQA,https://www.ysgear.co.jp/mc/oil/qa/,,,2026-07-07,量は現車ゲージ確認推奨,,1700〜2350円,3000〜3750円,1950〜2600円,2026-07
1053,アドレス125,address-125,oil,DT11A/EN11J,2017/09〜,,10W-30,スズキ純正:エクスター,jaso=MB;capacity_change=0.65L;interval=3000km,スズキ二輪,https://www1.suzuki.co.jp/motor/,,,2026-07-07,少量のため入れすぎ注意,粘度10W-40の可能性・要確認,950〜1250円,2200〜2700円,1150〜1550円,2026-07
